State Name,State Abbreviation,State FIPS,Part D Prescribers,Urban Part D Prescribers,Rural Part D Prescribers,Part D Opioid Prescribers,Urban Part D Opioid Prescribers,Rural Part D Opioid Prescribers,Opioid Claims,Urban Opioid Claims,Rural Opioid Claims,Long-Acting Opioid Claims,Urban Long-Acting Opioid Claims,Rural Long-Acting Opioid Claims,Overall Claims,Urban Overall Claims,Rural Overall Claims,Opioid Prescribing Rate,Urban Opioid Prescribing Rate,Rural Opioid Prescribing Rate,Long-Acting Opioid Prescribing Rate,Urban Long-Acting Opioid Prescribing Rate,Rural Long-Acting Opioid Prescribing Rate
National,,,"1,037,744","917,660","118,844","490,726","420,873","69,261","77,849,446","62,113,573","15,647,964","9,762,969","7,921,416","1,827,805","1,341,950,330","1,082,185,164","258,291,450",5.8,5.74,6.06,12.54,12.75,11.68
Alabama ,AL ,1,"12,821","10,888","1,927","7,418","6,087","1,327","2,256,479","1,697,128","556,452","216,703","173,938","42,494","29,157,450","21,627,302","7,505,293",7.74,7.85,7.41,9.6,10.25,7.64
Alaska ,AK ,2,"2,275","1,471",802,"1,095",663,431,"86,170","47,575","38,872","16,434","8,517","7,935","1,280,892","796,055","491,888",6.73,5.98,7.9,19.07,17.9,20.41
Arizona ,AZ ,4,"20,542","18,592","1,765","10,490","9,335","1,054","1,541,513","1,343,868","184,376","244,156","215,505","27,564","22,124,355","19,519,007","2,363,936",6.97,6.88,7.8,15.84,16.04,14.95
Arkansas ,AR ,5,"7,909","5,849","2,051","4,698","3,263","1,431","1,127,286","687,125","438,376","103,470","72,271","30,958","16,757,632","9,807,375","6,934,818",6.73,7.01,6.32,9.18,10.52,7.06
California ,CA ,6,"109,563","105,164","4,360","49,623","47,069","2,533","7,209,324","6,656,107","550,689","837,129","753,196","83,520","131,842,337","125,176,022","6,625,783",5.47,5.32,8.31,11.61,11.32,15.17
Colorado ,CO ,8,"17,269","15,279","1,980","8,810","7,676","1,129","1,081,546","939,924","141,202","172,240","150,355","21,824","14,413,266","12,433,664","1,971,406",7.5,7.56,7.16,15.93,16,15.46
Connecticut ,CT ,9,"16,017","15,575",436,"6,280","6,072",207,"668,833","637,517","31,303","110,974","106,306","4,668","14,868,134","14,245,402","618,385",4.5,4.48,5.06,16.59,16.68,14.91
Delaware ,DE ,10,"3,204","2,762",434,"1,566","1,328",233,"232,651","173,773","58,490","43,937","31,306","12,558","3,539,095","2,724,335","805,931",6.57,6.38,7.26,18.89,18.02,21.47
District of Columbia ,DC ,11,"4,324","4,237",0,"1,298","1,282",0,"81,331","78,845",0,"9,009","8,523",0,"1,882,379","1,856,146",0,4.32,4.25,0,11.08,10.81,0
Florida ,FL ,12,"61,029","59,887","1,117","28,247","27,600",635,"5,233,622","5,082,906","148,881","666,990","653,812","13,041","100,542,921","98,040,154","2,478,388",5.21,5.18,6.01,12.74,12.86,8.76
Georgia ,GA ,13,"25,625","22,491","3,103","13,611","11,621","1,969","2,699,424","2,087,190","609,937","273,239","224,406","48,603","41,154,138","31,141,169","9,985,461",6.56,6.7,6.11,10.12,10.75,7.97
Hawaii ,HI ,15,"4,053","3,316",732,"1,690","1,318",372,"175,542","118,829","56,713","25,157","15,436","9,721","4,533,930","3,479,988","1,053,283",3.87,3.41,5.38,14.33,12.99,17.14
Idaho ,ID ,16,"4,752","3,575","1,169","2,667","1,959",704,"433,676","300,490","132,515","71,821","48,726","22,958","5,625,884","3,826,917","1,788,663",7.71,7.85,7.41,16.56,16.22,17.32
Illinois ,IL ,17,"41,756","38,537","3,197","17,940","16,064","1,865","2,288,636","1,872,326","412,745","235,069","187,005","47,721","45,984,464","37,770,410","8,145,716",4.98,4.96,5.07,10.27,9.99,11.56
Indiana ,IN ,18,"19,371","16,317","3,051","10,628","8,786","1,839","2,120,330","1,629,672","490,370","277,723","219,195","58,625","30,713,108","23,042,571","7,671,579",6.9,7.07,6.39,13.1,13.45,11.96
Iowa ,IA ,19,"9,767","6,737","3,027","4,876","3,153","1,723","803,622","445,311","358,465","111,353","59,526","51,827","16,448,748","8,727,530","7,726,682",4.89,5.1,4.64,13.86,13.37,14.46
Kansas ,KS ,20,"9,120","6,450","2,669","4,865","3,276","1,586","858,527","492,967","365,040","120,684","66,514","54,158","13,508,124","7,576,562","5,930,588",6.36,6.51,6.16,14.06,13.49,14.84
Kentucky ,KY ,21,"14,339","9,204","5,076","6,619","4,002","2,603","1,759,755","886,123","873,574","157,000","99,577","57,522","28,330,810","13,519,915","14,801,031",6.21,6.55,5.9,8.92,11.24,6.58
Louisiana ,LA ,22,"14,819","13,408","1,408","7,680","6,773",906,"1,556,183","1,315,124","241,335","122,637","111,486","11,266","24,541,664","20,005,571","4,531,259",6.34,6.57,5.33,7.88,8.48,4.67
Maine ,ME ,23,"5,821","3,485","2,331","3,090","1,753","1,335","423,580","212,969","210,464","74,765","36,908","37,857","6,734,131","3,315,532","3,415,230",6.29,6.42,6.16,17.65,17.33,17.99
Maryland ,MD ,24,"21,070","20,512",541,"8,786","8,479",297,"936,860","888,337","48,271","154,092","147,397","6,681","15,525,472","14,645,589","876,692",6.03,6.07,5.51,16.45,16.59,13.84
Massachusetts ,MA ,25,"32,791","32,233",520,"13,477","13,199",265,"1,326,498","1,289,129","36,654","197,278","191,441","5,757","29,690,419","28,919,771","745,563",4.47,4.46,4.92,14.87,14.85,15.71
Michigan ,MI ,26,"37,872","33,002","4,862","19,136","16,334","2,796","3,320,243","2,701,869","617,131","403,385","303,990","99,202","44,479,073","36,179,615","8,283,069",7.46,7.47,7.45,12.15,11.25,16.07
Minnesota ,MN ,27,"19,975","16,538","3,436","9,565","7,591","1,972","1,079,182","749,952","329,448","158,266","103,132","55,203","20,484,528","13,874,334","6,615,425",5.27,5.41,4.98,14.67,13.75,16.76
Mississippi ,MS ,28,"8,334","4,718","3,614","4,763","2,508","2,253","1,100,471","467,440","632,778","86,531","44,127","42,404","17,154,391","6,939,298","10,212,410",6.42,6.74,6.2,7.86,9.44,6.7
Missouri ,MO ,29,"19,805","16,339","3,475","9,912","7,833","2,084","2,035,168","1,409,753","625,118","247,658","175,827","71,735","33,200,652","23,034,739","10,159,303",6.13,6.12,6.15,12.17,12.47,11.48
Montana ,MT ,30,"3,375","1,557","1,813","1,885",845,"1,036","267,078","116,826","150,041","46,662","20,723","25,917","3,931,842","1,721,384","2,205,306",6.79,6.79,6.8,17.47,17.74,17.27
Nebraska ,NE ,31,"6,311","4,485","1,821","3,084","2,049","1,033","452,799","247,501","205,174","63,463","30,056","33,407","8,918,314","4,717,556","4,198,462",5.08,5.25,4.89,14.02,12.14,16.28
Nevada ,NV ,32,"6,711","6,293",417,"3,669","3,395",271,"680,449","636,150","44,326","98,792","94,263","4,683","8,374,703","7,797,614","578,071",8.13,8.16,7.67,14.52,14.82,10.56
New Hampshire ,NH ,33,"5,392","2,828","2,565","2,630","1,413","1,218","291,345","165,659","125,723","61,043","35,309","25,734","4,715,410","2,627,542","2,088,877",6.18,6.3,6.02,20.95,21.31,20.47
New Jersey ,NJ ,34,"29,842","29,553",280,"12,371","12,262",111,"1,442,925","1,424,360","20,604","234,339","230,807","3,847","33,890,715","33,470,997","432,720",4.26,4.26,4.76,16.24,16.2,18.67
New Mexico ,NM ,35,"6,785","4,996","1,784","3,309","2,298","1,011","441,989","294,814","147,356","56,534","39,933","16,661","6,805,584","4,465,563","2,339,987",6.49,6.6,6.3,12.79,13.55,11.31
New York ,NY ,36,"85,841","81,273","4,542","29,561","27,267","2,287","2,795,434","2,457,204","337,045","396,815","345,202","51,418","90,289,484","82,258,162","8,016,890",3.1,2.99,4.2,14.2,14.05,15.26
North Carolina ,NC ,37,"32,094","26,613","5,469","17,504","14,083","3,420","3,195,975","2,351,339","845,013","415,966","329,323","86,628","50,623,134","36,417,168","14,210,322",6.31,6.46,5.95,13.02,14.01,10.25
North Dakota ,ND ,38,"2,661","1,757",905,"1,370",862,510,"163,909","95,605","68,351","28,061","16,625","11,454","3,569,541","1,824,270","1,745,342",4.59,5.24,3.92,17.12,17.39,16.76
Ohio ,OH ,39,"40,658","34,942","5,672","20,065","16,799","3,245","3,438,761","2,690,607","740,145","388,875","307,553","79,129","59,181,937","45,636,289","13,468,285",5.81,5.9,5.5,11.31,11.43,10.69
Oklahoma ,OK ,40,"10,962","7,710","3,249","6,216","4,190","2,026","1,294,731","794,496","500,174","164,682","115,355","49,309","16,713,872","9,694,596","7,017,749",7.75,8.2,7.13,12.72,14.52,9.86
Oregon ,OR ,41,"14,846","12,224","2,620","7,776","6,230","1,544","1,201,950","907,651","293,978","213,349","165,565","47,779","15,989,964","12,133,955","3,850,678",7.52,7.48,7.63,17.75,18.24,16.25
Pennsylvania ,PA ,42,"52,448","47,608","4,300","23,242","20,638","2,346","3,521,683","2,980,421","503,184","546,586","457,491","81,810","70,362,409","59,360,754","10,295,359",5.01,5.02,4.89,15.52,15.35,16.26
Rhode Island ,RI ,44,"4,705","4,701",1,"2,113","2,113",1,"254,153","254,453",35,"29,879","29,981",0,"6,145,748","6,145,698","1,114",4.14,4.14,3.14,11.76,11.78,0
South Carolina ,SC ,45,"13,481","11,529","1,944","7,581","6,318","1,257","1,437,178","1,125,233","310,900","136,867","115,977","20,718","21,063,586","16,128,025","4,920,087",6.82,6.98,6.32,9.52,10.31,6.66
South Dakota ,SD ,46,"3,028","1,836","1,191","1,561",890,671,"208,722","102,045","106,677","35,679","15,560","20,119","4,030,922","1,819,184","2,211,726",5.18,5.61,4.82,17.09,15.25,18.86
Tennessee ,TN ,47,"22,487","18,610","3,915","12,541","9,954","2,591","2,867,361","2,028,096","837,555","397,970","299,790","97,893","38,948,999","27,321,099","11,612,824",7.36,7.42,7.21,13.88,14.78,11.69
Texas ,TX ,48,"64,950","58,878","6,055","32,034","28,435","3,587","5,171,073","4,372,845","797,014","408,155","356,253","51,626","85,004,968","71,238,467","13,759,953",6.08,6.14,5.79,7.89,8.15,6.48
Utah ,UT ,49,"7,906","7,179",725,"3,855","3,417",435,"519,978","442,596","77,141","73,654","61,965","11,689","6,775,591","5,832,898","940,492",7.67,7.59,8.2,14.16,14,15.15
Vermont ,VT ,50,"2,485","1,068","1,419","1,169",438,732,"143,606","43,285","100,334","31,235","9,625","21,610","2,442,517","655,916","1,786,641",5.88,6.6,5.62,21.75,22.24,21.54
Virginia ,VA ,51,"24,227","21,973","2,251","11,800","10,391","1,403","1,707,433","1,326,397","380,340","189,446","156,915","32,490","28,691,842","22,196,457","6,493,426",5.95,5.98,5.86,11.1,11.83,8.54
Washington ,WA ,53,"24,158","22,211","1,939","12,117","10,956","1,151","1,570,685","1,368,223","202,088","267,713","234,032","33,662","22,557,119","19,863,006","2,688,695",6.96,6.89,7.52,17.04,17.1,16.66
West Virginia ,WV ,54,"6,715","5,117","1,591","3,450","2,576",869,"807,332","577,477","229,404","69,653","52,413","17,156","12,355,888","8,430,102","3,910,979",6.53,6.85,5.87,8.63,9.08,7.48
Wisconsin ,WI ,55,"19,761","15,494","4,258","10,156","7,707","2,442","1,440,967","1,063,146","375,488","255,214","187,234","67,651","24,438,785","17,607,522","6,765,387",5.9,6.04,5.55,17.71,17.61,18.02
Wyoming ,WY ,56,"1,692",659,"1,035",837,323,515,"95,478","34,895","60,675","14,637","5,044","9,613","1,609,459","595,967","1,014,296",5.93,5.86,5.98,15.33,14.45,15.84
